TYPE;NUM;PARENT_CODE;NAME;MEASURE_UNIT;UNIT_WEIGHT;ENERGY;FIBER;FAT;CARBOHYDRATE;PRICE
GOODS;1156466;54161;Аджика (Кухмастер);Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1119467;44991;Американо L;Штуки;21.00;;;0.00;0.00;190.00
DISH;1119466;44991;Американо S;Штуки;11.00;;;0.00;0.00;112.00
DISH;991359;51052;Антисептик для рук 500 мл. Италмас;Штуки;0.00;;;0.00;0.00;0.00
GOODS;963078;49993;Апельсин;Килограммы;1000.00;;;0.00;0.00;0.00
SERVICE;995823;53534;Аренда нежилого помещения;Штуки;0.00;;;0.00;0.00;0.00
GOODS;1009753;49993;Ароматизатор;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1020711;51052;Астера табл. ср-во дез.;Штуки;0.00;;;0.00;0.00;0.00
GOODS;1009706;49993;Базилик;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;995403;53534;Бейсболка с логотипом;Штуки;0.00;;;0.00;0.00;0.00
DISH;1009582;51052;Белизна 1л;Штуки;0.00;;;0.00;0.00;0.00
PREPARED;1012487;49995;Бисквит п/ф Савоярди;Килограммы;1247.00;;;0.00;0.00;0.00
DISH;1136962;54161;Блюдо Азу (картофель и куриное филе);Штуки;268.00;;;0.00;0.00;27.51
DISH;1078741;54161;Блюдо Гречка отварная;Штуки;230.00;;;0.00;0.00;8.40
DISH;1092651;54161;Блюдо Гречка с овощами (лук/морковь);Штуки;256.00;;;0.00;0.00;10.29
DISH;1082984;54161;Блюдо Гуляш из куриного филе (с соусом);Штуки;74.30;;;0.00;0.00;17.29
DISH;1086281;54161;Блюдо Картофель вареный/запеченный/Рагу;Штуки;233.00;;;0.00;0.00;10.32
DISH;1107679;54161;Блюдо Картофельная запеканка (с куриным филе);Штуки;387.00;;;0.00;0.00;33.91
DISH;1068578;54161;Блюдо Картофельное пюре;Штуки;25.18;;;0.00;0.00;17.57
DISH;1123276;54161;Блюдо Курица с соусом Бешамель;Штуки;139.00;;;0.00;0.00;31.25
DISH;1072404;54161;Блюдо Макаронные изделия отварные;Штуки;238.00;;;0.00;0.00;8.54
DISH;1127234;54161;Блюдо Макаронные изделия с мясным ассорти;Штуки;282.00;;;0.00;0.00;11.96
